Explainer,ExplainerDescription,ExplainabilityTechniqueType,DatasetType,ExplanationOutputType,ExplanationDescription,Concurrentness,Portability,Scope,TargetType,OutputType,Complexity,AIMethodType,AITaskType,Backend,metadata
/Tabular/LIME,"LIME perturbs the input data samples in order to train a simple model that approximates the prediction for the given instance and similar ones. The explanation contains the weight of each attribute to the prediction value. This method accepts 4 arguments: the 'id', the 'instance', the 'url'(optional),  and the 'params' dictionary (optiohnal) with the configuration parameters of the method. These arguments are described below.","['LIME', 'Simplification By Linear Regression', 'Simplification']",Multivariate,['Feature Influence Explanation'],"Explanation contains a plot with the most influent features for the given instance. For regression models, the plot displays both positive and negative contributions of each feature value to the predicted outcome. The same applies to classification models, but there can be a plot for each possible class. A table containing the feature values of the instance is also included.",Post-hoc,Model-agnostic,Local,Prediction,"[['chart', 'figure', 'media'], ['table', 'figure', 'media']]",Quadratic time,[['Machine Learning']],"[['Classification', 'Inductive Task'], ['Regression', 'Inductive Task']]","['PyTorch', 'Sklearn', 'TensorFlow 1', 'TensorFlow 2']","""{\n    \""supportsAPI\"": true,\n    \""needsData\"": true,\n    \""requiresAttributes\"": []\n}"""
/Images/Anchors,"Uses anchors to find the groups of pixels that are sufficient for the model to justify the predicted class.This method accepts 5 arguments: the 'id', the 'url' (optional),  the 'params' dictionary (optional) with the configuration parameters of the method, the 'instance' containing the image that will be explained as a matrix, or the 'image' file instead. These arguments are described below.","['Anchor', 'Simplification By Rule Extraction', 'Simplification']",Image,"['Anchor Explanation', 'Feature Influence Explanation']",Explanation displays the pixels that are sufficient for the model to justify the outcome,Post-hoc,Model-agnostic,Local,Prediction,"[['image', 'figure', 'media']]",Quadratic time,[['Machine Learning']],"[['Classification', 'Inductive Task']]",['Any'],"""{\n    \""supportsAPI\"": true,\n    \""supportsB&WImage\"": true,\n    \""needsData\"": false,\n    \""requiresAttributes\"": []\n}"""
/Images/Counterfactuals,"Finds an image that is similar to the original, but that the model predicts to be from a different class. The class of the conterfactual can be explicitly specified.This method accepts 5 arguments: the 'id', the 'url' (optional),  the 'params' dictionary (optional) with the configuration parameters of the method, the 'instance' containing the image that will be explained as a matrix, or the 'image' file instead. These arguments are described below.","['Wachter', 'Optimisation Based']",Image,['Counterfactual Explanation'],Explanation displays an image that is as similar as possible to the original but that the model predicts to be from a different class.,Post-hoc,Model-agnostic,Local,Prediction,"[['image', 'figure', 'media']]",Quadratic time,"[['Supervised Machine Learning', 'Machine Learning']]","[['Classification', 'Inductive Task']]",['TensorFlow 2'],"""{\n    \""supportsAPI\"": true,\n    \""supportsB&WImage\"": true,\n    \""needsData\"": false,\n    \""requiresAttributes\"": []\n}"""
/Images/GradCamTorch,"Gradient-weighted Class Activation Mapping (Grad-CAM), uses the gradients of any target concept, flowing into the final convolutional layer to produce a coarse localization map highlighting important regions in the image for predicting the concept.This method accepts 4 arguments: the 'id', the 'params' dictionary (optional) with the configuration parameters of the method, the 'instance' containing the image that will be explained as a matrix, or the 'image' file instead. These arguments are described below.","['Wachter', 'Optimisation Based']",Image,"['Saliency Map', 'Feature Influence Explanation']",Explanation displays an image that highlights the region that contributes the most to the outcome.,Post-hoc,Model-specific,Local,Prediction,"[['image', 'figure', 'media']]",Linearithmic time,"[['Neural Networks (Computer)', 'Supervised Machine Learning', 'Machine Learning']]","[['Classification', 'Inductive Task']]",['PyTorch'],"""{\n    \""supportsAPI\"": false,\n    \""needsData\"": false,\n    \""supportsB&WImage\"": false,\n    \""requiresAttributes\"": [\n        {\n            \""target_layer\"": \""name of target layer to be provided as a string. This is the layer that you want to compute the visualization for. Usually this will be the last convolutional layer in the model. It is also possible to specify internal components of this layer by         passing the target_layer_index parameter in params when making a call to the explainer resource. To get the target layer, this method executes 'model.<target_layer>        [<target_layer_index>]' \\nSome common examples of these parameters for well-known models:\\nResnet18 and 50: model.layer4 -> 'target_layer':'layer4'\\nVGG, densenet161: model.features[-1] -> 'target_layer':'features', 'target_layer_index':-1\\nmnasnet1_0: model.layers[-1] -> 'target_layer':'layers', 'target_layer_index':-1\""\n        }\n    ]\n}"""
/Images/LIME,"Uses LIME to identify the group of pixels that contribute the most to the predicted class.This method accepts 5 arguments: the 'id', the 'url' (optional),  the 'params' dictionary (optional) with the configuration parameters of the method, the 'instance' containing the image that will be explained as a matrix, or the 'image' file instead. These arguments are described below.","['LIME', 'Simplification By Linear Regression', 'Simplification']",Image,['Feature Influence Explanation'],Explanation displays the group of pixels that contribute positively (in green) and negatively (in red) to the prediction of the image class. More than one class may be displayed.,Post-hoc,Model-agnostic,Local,Prediction,"[['image', 'figure', 'media']]",Quadratic time,"[['Supervised Machine Learning', 'Machine Learning']]","[['Classification', 'Inductive Task']]","['PyTorch', 'Sklearn', 'TensorFlow 1', 'TensorFlow 2']","""{\n    \""supportsAPI\"": true,\n    \""supportsB&WImage\"": false,\n    \""needsData\"": false,\n    \""requiresAttributes\"": []\n}"""
/Tabular/ALE,"Computes the accumulated local effects (ALE) of a model for the specified features. This method accepts 3 arguments: the 'id', the 'url',  and the 'params' JSON with the configuration parameters of the method. These arguments are described below.","['ALE', 'Influence Function', 'Feature Relevance']",Multivariate,['Feature Influence Explanation'],Explanation presenrs a plot for each of the specified features where the y-axis represents the global feature effect on the outcome value according to the computed ALE values.,Post-hoc,Model-agnostic,Global,Model,"[['chart', 'figure', 'media']]",Linearithmic time,"[['Supervised Machine Learning', 'Machine Learning']]","[['Classification', 'Inductive Task'], ['Regression', 'Inductive Task']]",['Any'],"""{\n    \""supportsAPI\"": true,\n    \""needsData\"": true,\n    \""requiresAttributes\"": []\n}"""
/Tabular/Anchors,"Anchors provide local explanations in the form of simple boolean rules with a precision score and a coverage value which represents the scope in which that rules applies to similar instances. This method accepts 4 arguments: the 'id', the 'instance', the 'url' (optional),  and the 'params' JSON (optional) with the configuration parameters of the method. These arguments are described below.","['Anchor', 'Simplification By Rule Extraction', 'Simplification']",Multivariate,"['Anchor Explanation', 'Feature Influence Explanation']","Explanation displays an instance with the boolean rule (anchor) that was found, and values for its precision and coverage (scope in which that rules applies to similar instances).	",Post-hoc,Model-agnostic,Local,Prediction,"[['chart', 'figure', 'media'], ['textual entity', 'language entity']]",Quadratic time,"[['Supervised Machine Learning', 'Machine Learning'], ['Machine Learning']]","[['Classification', 'Inductive Task']]",['Any'],"""{\n    \""supportsAPI\"": true,\n    \""needsData\"": true,\n    \""requiresAttributes\"": []\n}"""
/Tabular/DicePrivate,"Diverse Counterfactual Explanations (DiCE)  private method generates counterfactuals without training data. However, it requires the format and ranges of the data to be specified when uploading the model. This method is currently supported for TensorFlow models only.  Accepts 3 arguments: the 'id' string, the 'instance', and the 'params' dictionary (optional) containing the configuration parameters of the explainer. These arguments are described below.","['DiCE', 'Optimisation Based']",Multivariate,['Counterfactual Explanation'],Explanation contains a table with the original instance compared against a generated couterfactual(s).,Post-hoc,Model-agnostic,Local,Prediction,"[['table', 'figure', 'media']]",Quadratic time,"[['Supervised Machine Learning', 'Machine Learning']]","[['Classification', 'Inductive Task']]","['TensorFlow 1', 'TensorFlow 2']","""{\n    \""supportsAPI\"": false,\n    \""needsData\"": false,\n    \""requiresAttributes\"": [\n        {\n            \""features\"": \""Dictionary with feature names as keys and arrays containing the ranges of continuous features, or strings with the categories for categorical features.\""\n        }\n    ]\n}"""
/Tabular/DicePublic,"Diverse Counterfactual Explanations (DiCE) public method generates counterfactuals using the ML model's training data as a baseline. Accepts 3 arguments: the 'id' string, the 'instance', and the 'params' dictionary (optional) containing the configuration parameters of the explainer. These arguments are described below.","['DiCE', 'Optimisation Based']",Multivariate,['Counterfactual Explanation'],Explanation contains a table with the original instance compared against a generated couterfactual(s).,Post-hoc,Model-agnostic,Local,Prediction,"[['table', 'figure', 'media']]",Quadratic time,"[['Supervised Machine Learning', 'Machine Learning']]","[['Classification', 'Inductive Task']]","['PyTorch', 'Sklearn', 'TensorFlow 1', 'TensorFlow 2']","""{\n    \""supportsAPI\"": false,\n    \""needsData\"": true,\n    \""requiresAttributes\"": []\n}"""
/Tabular/DisCERN,"Discovering Counterfactual Explanations using Relevance Features from Neighbourhoods (DisCERN) generates counterfactuals for scikit-learn-based models. Requires 3 arguments: the 'id' string, the 'instance' to be explained, and the 'params' object containing the configuration parameters of the explainer. These arguments are described below.","['DisCERN', 'Data-driven']",Multivariate,['Counterfactual Explanation'],Explanation contains a table with the original instance compared against a generated couterfactual(s).,Post-hoc,Model-agnostic,Local,Prediction,"[['table', 'figure', 'media']]",Quadratic time,"[['Supervised Machine Learning', 'Machine Learning']]","[['Classification', 'Inductive Task']]",['Sklearn'],"""{\n    \""supportsAPI\"": false,\n    \""needsData\"": true,\n    \""requiresAttributes\"": []\n}"""
